"","X","name","type","latitude","longitude","population","year","gas","est_RFNB","gas_base","food_base","ANindex"
"6498",6659,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1997,60.0611111111111,307.756073828922,24.5166666666667,228.283742793951,0.582836525024519
"6526",6509,"Kingsclear","First Nations",45.950442,-66.851933,558,1997,60.0222222222222,212.242454308421,24.375,132.77012327345,0.649178987956481
"6614",6658,"Oromocto","First Nations",45.851388889,-66.463611111,452,1997,60.0222222222222,209.597851899331,24.375,130.12552086436,0.654119205293637
"6635",6729,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1997,60.0222222222222,213.237170156569,24.375,133.764839121597,0.647371375968429
"6723",6496,"Woodstock","First Nations",46.109192,-67.57747,554,1997,60.0222222222222,231.180784372097,24.375,151.708453337125,0.618834483632829
"6786",6878,"Acadia","First Nations",43.832917,-66.084223,94,1998,56.5722222222222,312.055301844301,24.375,229.957232999803,0.584690284034368
"6795",6925,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1998,57.2083333333333,272.814440056952,24.5166666666667,190.716371212455,0.554400926017023
"6800",6913,"Bear River","First Nations",44.549444444,-65.623611111,297,1998,56.5722222222222,285.619354005706,24.375,203.521285161209,0.604671057816533
"6844",6999,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1998,52.597619047619,302.503494661568,25.8166666666667,220.40542581707,0.673662227191347
"6855",7016,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1998,57.2083333333333,310.381811638448,24.5166666666667,228.283742793951,0.567085421288523
"6883",6866,"Kingsclear","First Nations",45.950442,-66.851933,558,1998,56.5722222222222,214.868192117947,24.375,132.77012327345,0.697289550472733
"6971",7015,"Oromocto","First Nations",45.851388889,-66.463611111,452,1998,56.5722222222222,212.223589708857,24.375,130.12552086436,0.702704219021525
"6992",7086,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1998,56.5722222222222,215.862907966095,24.375,133.764839121597,0.695308338086284
"7080",6853,"Woodstock","First Nations",46.109192,-67.57747,554,1998,56.5722222222222,233.806522181623,24.375,151.708453337125,0.664030804555989
"7143",7235,"Acadia","First Nations",43.832917,-66.084223,94,1999,59.0236111111111,313.980842904619,24.375,229.957232999803,0.563864722905972
"7152",7282,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1999,59.5027777777778,274.739981117271,24.5166666666667,190.716371212455,0.551912876432184
"7157",7270,"Bear River","First Nations",44.549444444,-65.623611111,297,1999,59.0236111111111,287.544895066025,24.375,203.521285161209,0.58346481715538
"7201",7356,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1999,52.2678571428571,304.429035721886,25.8166666666667,220.40542581707,0.682227564430211
"7212",7373,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1999,59.5027777777778,312.307352698766,24.5166666666667,228.283742793951,0.578673097747045
"7240",7223,"Kingsclear","First Nations",45.950442,-66.851933,558,1999,59.0236111111111,216.793733178266,24.375,132.77012327345,0.674318715262158
"7328",7372,"Oromocto","First Nations",45.851388889,-66.463611111,452,1999,59.0236111111111,214.149130769176,24.375,130.12552086436,0.679630221965684
"7349",7443,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1999,59.0236111111111,217.788449026413,24.375,133.764839121597,0.672375249512237
"7437",7210,"Woodstock","First Nations",46.109192,-67.57747,554,1999,59.0236111111111,235.732063241941,24.375,151.708453337125,0.641693624677971
"7500",7592,"Acadia","First Nations",43.832917,-66.084223,94,2000,73.9333333333333,316.256482339541,24.375,229.957232999803,0.453415851475702
"7509",7639,"Annapolis Valley","First Nations",45.065777,-64.654284,260,2000,75.2458333333333,277.015620552193,24.5166666666667,190.716371212455,0.471770736213356
"7514",7627,"Bear River","First Nations",44.549444444,-65.623611111,297,2000,73.9333333333333,289.820534500947,24.375,203.521285161209,0.469487089414557
"7558",7713,"Fort Folly","First Nations",45.892211914,-64.495483398,61,2000,68.4119047619048,306.704675156808,25.8166666666667,220.40542581707,0.525129721619451
"7569",7730,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,2000,75.2458333333333,314.582992133689,24.5166666666667,228.283742793951,0.385029305427028
"7597",7580,"Kingsclear","First Nations",45.950442,-66.851933,558,2000,73.9333333333333,219.069372613188,24.375,132.77012327345,0.543983395175462
"7685",7729,"Oromocto","First Nations",45.851388889,-66.463611111,452,2000,73.9333333333333,216.424770204098,24.375,130.12552086436,0.548338603214769
"7706",7800,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,2000,73.9333333333333,220.064088461335,24.375,133.764839121597,0.542389836486634
"7794",7567,"Woodstock","First Nations",46.109192,-67.57747,554,2000,73.9333333333333,238.007702676863,24.375,151.708453337125,0.5172322180187
"7857",7949,"Acadia","First Nations",43.832917,-66.084223,94,2001,71.3319444444444,323.433499018911,24.375,229.957232999803,0.480616289869065
"7866",7996,"Annapolis Valley","First Nations",45.065777,-64.654284,260,2001,72.9361111111111,284.192637231563,24.5166666666667,190.716371212455,0.408840428634528
"7871",7984,"Bear River","First Nations",44.549444444,-65.623611111,297,2001,71.3319444444444,296.997551180317,24.375,203.521285161209,0.498658921947479
"7915",8070,"Fort Folly","First Nations",45.892211914,-64.495483398,61,2001,70.3309523809524,313.881691836178,25.8166666666667,220.40542581707,0.522754009159807
"7926",8087,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,2001,72.9361111111111,321.760008813058,24.5166666666667,228.283742793951,0.438423526990052
"7954",7937,"Kingsclear","First Nations",45.950442,-66.851933,558,2001,71.3319444444444,226.246389292557,24.375,132.77012327345,0.582293390005191
"8042",8086,"Oromocto","First Nations",45.851388889,-66.463611111,452,2001,71.3319444444444,223.601786883467,24.375,130.12552086436,0.587182833903485
"8063",8157,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,2001,71.3319444444444,227.241105140705,24.375,133.764839121597,0.580504355879305
"8151",7924,"Woodstock","First Nations",46.109192,-67.57747,554,2001,71.3319444444444,245.184719356233,24.375,151.708453337125,0.552260753506357
"8214",8306,"Acadia","First Nations",43.832917,-66.084223,94,2002,72.0722222222222,327.984777888755,24.375,229.957232999803,0.482373371313965
"8223",8353,"Annapolis Valley","First Nations",45.065777,-64.654284,260,2002,72.3680555555556,288.743916101407,24.5166666666667,190.716371212455,0.515593997880149
"8228",8341,"Bear River","First Nations",44.549444444,-65.623611111,297,2002,72.0722222222222,301.548830050161,24.375,203.521285161209,0.501100138565242
"8272",8427,"Fort Folly","First Nations",45.892211914,-64.495483398,61,2002,65.9464285714286,318.432970706022,25.8166666666667,220.40542581707,0.5655937916002
"8283",8444,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,2002,72.3680555555556,326.311287682902,24.5166666666667,228.283742793951,0.412560372036404
"8311",8294,"Kingsclear","First Nations",45.950442,-66.851933,558,2002,72.0722222222222,230.797668162401,24.375,132.77012327345,0.587905833582154
"8399",8443,"Oromocto","First Nations",45.851388889,-66.463611111,452,2002,72.0722222222222,228.153065753312,24.375,130.12552086436,0.592980673964291
"8420",8514,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,2002,72.0722222222222,231.792384010549,24.375,133.764839121597,0.586048963390795
"8508",8281,"Woodstock","First Nations",46.109192,-67.57747,554,2002,72.0722222222222,249.735998226077,24.375,151.708453337125,0.556734428478308
"8571",8663,"Acadia","First Nations",43.832917,-66.084223,94,2003,78.7277777777778,330.960614072884,24.375,229.957232999803,0.445600706608359
"8580",8710,"Annapolis Valley","First Nations",45.065777,-64.654284,260,2003,78.0611111111111,291.719752285536,24.5166666666667,190.716371212455,0.480269457931972
"8585",8698,"Bear River","First Nations",44.549444444,-65.623611111,297,2003,78.7277777777778,304.52466623429,24.375,203.521285161209,0.463264766111774
"8629",8784,"Fort Folly","First Nations",45.892211914,-64.495483398,61,2003,71.6761904761905,321.408806890151,25.8166666666667,220.40542581707,0.525243568885154
"8640",8801,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,2003,78.0611111111111,329.287123867031,24.5166666666667,228.283742793951,0.4559680800924
"8668",8651,"Kingsclear","First Nations",45.950442,-66.851933,558,2003,78.7277777777778,233.77350434653,24.375,132.77012327345,0.54514440617135
"8756",8800,"Oromocto","First Nations",45.851388889,-66.463611111,452,2003,78.7277777777778,231.128901937441,24.375,130.12552086436,0.54993125919716
"8777",8871,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,2003,78.7277777777778,234.768220194678,24.375,133.764839121597,0.543392909764621
"8865",8638,"Woodstock","First Nations",46.109192,-67.57747,554,2003,78.7277777777778,252.711834410206,24.375,151.708453337125,0.515741917895012
"8928",9020,"Acadia","First Nations",43.832917,-66.084223,94,2004,86.6222222222222,334.63664700622,24.375,229.957232999803,0.409488518395598
"8937",9067,"Annapolis Valley","First Nations",45.065777,-64.654284,260,2004,86.4055555555556,295.395785218872,24.5166666666667,190.716371212455,0.460512731014607
"8942",9055,"Bear River","First Nations",44.549444444,-65.623611111,297,2004,86.6222222222222,308.200699167625,24.375,203.521285161209,0.4261270333652
"8986",9141,"Fort Folly","First Nations",45.892211914,-64.495483398,61,2004,80.0857142857143,325.084839823487,25.8166666666667,220.40542581707,0.475466090626871
"8997",9158,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,2004,86.4055555555556,332.963156800367,24.5166666666667,228.283742793951,0.458701442348795
"9025",9008,"Kingsclear","First Nations",45.950442,-66.851933,558,2004,86.6222222222222,237.449537279866,24.375,132.77012327345,0.503252884111661
"9113",9157,"Oromocto","First Nations",45.851388889,-66.463611111,452,2004,86.6222222222222,234.804934870776,24.375,130.12552086436,0.507761820786823
"9134",9228,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,2004,86.6222222222222,238.444253128014,24.375,133.764839121597,0.501603076536174
"9222",8995,"Woodstock","First Nations",46.109192,-67.57747,554,2004,86.6222222222222,256.387867343542,24.375,151.708453337125,0.475557453101884
"9285",9377,"Acadia","First Nations",43.832917,-66.084223,94,2005,99.4361111111111,339.187925876064,24.375,229.957232999803,0.361571177307255
"9294",9424,"Annapolis Valley","First Nations",45.065777,-64.654284,260,2005,98.7194444444444,299.947064088716,24.5166666666667,190.716371212455,0.352277927040575
"9299",9412,"Bear River","First Nations",44.549444444,-65.623611111,297,2005,99.4361111111111,312.75197803747,24.375,203.521285161209,0.376695751530126
"9343",9498,"Fort Folly","First Nations",45.892211914,-64.495483398,61,2005,95.3988095238095,329.636118693331,25.8166666666667,220.40542581707,0.404734031087551
"9354",9515,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,2005,98.7194444444444,337.514435670211,24.5166666666667,228.283742793951,0.417419078560018
"9382",9365,"Kingsclear","First Nations",45.950442,-66.851933,558,2005,99.4361111111111,242.00081614971,24.375,132.77012327345,0.446803910596483
"9470",9514,"Oromocto","First Nations",45.851388889,-66.463611111,452,2005,99.4361111111111,239.35621374062,24.375,130.12552086436,0.45090257850851
"9491",9585,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,2005,99.4361111111111,242.995531997858,24.375,133.764839121597,0.445304219237338
"9579",9352,"Woodstock","First Nations",46.109192,-67.57747,554,2005,99.4361111111111,260.939146213386,24.375,151.708453337125,0.421628490632199
"9642",9734,"Acadia","First Nations",43.832917,-66.084223,94,2006,103.169444444444,343.564155558607,24.375,229.957232999803,0.352983418900792
"9651",9781,"Annapolis Valley","First Nations",45.065777,-64.654284,260,2006,103.754166666667,304.323293771258,24.5166666666667,190.716371212455,0.376049544161281
"9656",9769,"Bear River","First Nations",44.549444444,-65.623611111,297,2006,103.169444444444,317.128207720012,24.375,203.521285161209,0.368144714095982
