"","name","type","latitude","longitude","population","year","gas","est_RFNB"
"234","Soowahlie","First Nations","49.082514978","-121.968964671","333","1979","23.2083333333333","212.721807765407"
"235","Skeetchestn","First Nations","50.841186523","-120.948791504","408","1979","23.2083333333333","234.696580230881"
"236","Gitwangak","First Nations","55.096178378","-128.075998026","66","1979","23.2083333333333","173.683584100474"
"237","Nee-Tahi-Buhn","First Nations","53.992867019","-125.848692261","86","1979","23.2083333333333","133.804866855134"
"238","Soda Creek","First Nations","52.262207031","-122.093383789","360","1979","23.2083333333333","213.556895974807"
"239","Wet'suwet'en First Nation","First Nations","54.331420898","-125.893493652","220","1979","23.2083333333333","156.580559405546"
"240","Aitchelitz","First Nations","49.150411515","-121.986881612","362","1979","23.2083333333333","227.137368486348"
"241","War Lake First Nation","First Nations","56.06842041","-95.596496582","275","1979","22.625","202.156697760268"
"242","Esgenoopetitj First Nation","First Nations","47.205678093","-65.117289232","141","1979","25.8166666666667","130.20404370323"
"243","Songhees First Nation","First Nations","48.449829102","-123.425476074","418","1979","23.2083333333333","141.600570340334"
"244","Saik'uz First Nation","First Nations","53.938415527","-124.125305176","547","1979","23.2083333333333","198.967065913405"
"245","La Nation Micmac de Gespeg","First Nations","48.875793457","-64.554870605","463","1979","25.8166666666667","136.847631432718"
"246","Pictou Landing","First Nations","45.669444444","-62.652777778","448","1979","25.8166666666667","132.990838635052"
"247","Nisga'a Village of Gingolx","First Nations","54.996032715","-129.956970215","169","1979","23.2083333333333","125.931696767972"
"248","Abegweit","First Nations","46.359802246","-62.910766602","318","1979","25.8166666666667","131.223093243871"
"249","Neskonlith","First Nations","50.783996582","-119.753967285","450","1979","23.2083333333333","128.381185966018"
"250","Eel Ground","First Nations","46.987609863","-65.634216309","562","1979","24.375","204.298011081714"
"251","Qualicum First Nation","First Nations","49.396789551","-124.61529541","43","1979","23.2083333333333","140.85779653091"
"252","Qalipu Mi'kmaq First Nation","First Nations","48.950563062","-57.93777515","218","1979","27.225","137.421051771383"
"253","Union Bar","First Nations","49.443055556","-121.433055556","43","1979","23.2083333333333","151.858181307263"
"254","The Crees of the Waskaganish First Nation","First Nations","51.481532005","-78.759963618","249","1979","23.95","283.839226549822"
"255","Douglas","First Nations","49.755474212","-122.164833005","270","1979","23.2083333333333","129.46904950123"
"256","Alexis Creek","First Nations","52.138427734","-123.959594727","457","1979","23.2083333333333","236.022018591357"
"257","Behdzi Ahda"" First Nation","First Nations","67.020019531","-126.070007324","197","1979","19.075","228.728716072742"
"258","Constance Lake","First Nations","49.811944444","-84.128888889","115","1979","24.1833333333333","133.597450099229"
"259","Skin Tyee","First Nations","53.998413086","-125.879394531","124","1979","23.2083333333333","136.978020743586"
"260","Shxw'ow'hamel First Nation","First Nations","49.341846","-121.607881","151","1979","23.2083333333333","135.557487772872"
"261","Ahousaht","First Nations","49.280822754","-126.057800293","183","1979","23.2083333333333","133.43421533552"
"262","Gwawaenuk Tribe","First Nations","50.923924624","-126.820881738","342","1979","23.2083333333333","137.841277445796"
"263","T'Sou-ke First Nation","First Nations","48.386230469","-123.695495605","235","1979","23.2083333333333","133.653896166957"
"264","Sheshatshiu Innu First Nation","First Nations","53.518798828","-60.146179199","93","1979","25.8166666666667","224.61854596546"
"265","Yakweakwioose","First Nations","49.133055556","-121.938055556","458","1979","23.2083333333333","130.770755298802"
"266","Cape Mudge","First Nations","50.018055556","-125.293055556","18","1979","23.2083333333333","161.280722472428"
"267","Pabineau","First Nations","47.532222222","-65.669166667","274","1979","25.8166666666667","198.26230588601"
"268","Sts'ailes","First Nations","49.297790527","-121.910888672","16","1979","23.2083333333333","163.146309066248"
"269","Bande des Innus de Pessamit","First Nations","48.938301756","-68.638164685","340","1979","24.375","164.326478721703"
"270","Oregon Jack Creek","First Nations","50.619628906","-121.319580078","451","1979","23.2083333333333","182.384215043166"
"271","Eastmain","First Nations","52.234169403","-78.518392033","505","1979","23.95","142.205483462855"
"272","Adams Lake","First Nations","50.819030762","-119.734008789","496","1979","23.2083333333333","129.63004397811"
"273","Yunesit'in Government","First Nations","51.931030273","-123.145080566","378","1979","23.2083333333333","232.850620273592"
"274","Shxwhá:y Village","First Nations","49.171111111","-121.998888889","343","1979","23.2083333333333","163.083540460201"
"275","Pauquachin","First Nations","48.622802734","-123.457885742","344","1979","23.2083333333333","130.717717311892"
"276","Osoyoos","First Nations","49.18515918","-119.532774034","407","1979","23.2083333333333","135.454566239589"
"277","Cree Nation of Wemindji","First Nations","53.000164385","-78.811970518","102","1979","23.95","134.889736076158"
"278","Lytton","First Nations","50.25604248","-121.591064453","168","1979","23.2083333333333","130.111102237486"
"279","Nuchatlaht","First Nations","49.989624023","-126.941711426","107","1979","23.2083333333333","138.411267882551"
"280","Boothroyd","First Nations","49.961791992","-121.483398438","269","1979","23.2083333333333","135.150005599429"
